"Child_ID","Region","Urbanicity","Gender","C1_Reading","C1_Math","C2_Reading","C2_Math","C4_Reading","C4_Math","C5_Reading","C5_Math","C6_Reading","C6_Math","C7_Reading","C7_Math","P2_Family_Type","WK_Income","Parent_Education","Non_Home_English_Speaker","Full_Time_Program"
"0189004C",1,2,0,44,31,59,52,73,57,104,100,151,112,NA,NA,4,21000,1,0,1
"0189005C",1,2,0,36,36,60,54,69,57,116,76,NA,NA,NA,NA,1,40000,2,0,1
"0189006C",1,2,1,48,48,65,77,91,68,131,123,151,160,202,166,2,44000,1,0,1
"0189007C",1,2,0,51,75,70,96,112,95,152,140,188,160,205,168,1,2e+05,1,0,1
"0189008C",1,2,1,37,38,68,48,111,55,147,94,NA,NA,NA,NA,1,44000,0,0,1
"0189009C",1,2,1,46,40,51,65,81,97,152,116,185,152,199,160,1,170000,1,0,1
"0189010C",1,2,1,45,35,63,50,117,70,158,117,182,147,196,159,1,45000,1,0,1
"0189011C",1,2,1,41,28,54,48,NA,NA,NA,NA,NA,NA,NA,NA,1,55000,1,0,1
"0189012C",1,2,1,42,36,73,64,NA,NA,NA,NA,NA,NA,NA,NA,1,24000,1,0,1
"0189013C",1,2,1,51,38,57,45,92,85,147,82,147,127,176,128,1,60000,1,0,1
"0189014C",1,2,1,40,28,47,42,88,72,136,75,NA,NA,NA,NA,1,50000,0,0,1
"0189015C",1,2,0,64,29,79,50,107,63,NA,NA,NA,NA,NA,NA,1,30000,0,0,1
"0189016C",1,2,1,42,35,52,57,89,88,127,93,154,136,NA,NA,1,1e+05,2,0,1
"0189017C",1,2,1,43,42,49,48,67,64,NA,NA,NA,NA,NA,NA,1,70000,1,0,1
"0189018C",1,2,0,38,26,39,38,70,51,NA,NA,NA,NA,NA,NA,4,36000,0,0,1
"0189019C",1,2,0,41,42,54,54,103,90,151,134,164,153,187,162,2,110000,2,0,1
"0189020C",1,2,1,42,30,70,55,86,55,124,104,149,119,163,132,2,64000,1,0,1
"0189021C",1,2,1,44,39,52,56,71,73,139,112,176,129,176,148,2,55000,1,0,1
"0189022C",1,2,0,34,31,44,46,73,76,NA,NA,NA,NA,NA,NA,1,72000,1,0,1
"0189023C",1,2,0,49,53,75,79,120,100,159,140,NA,NA,NA,NA,1,70000,1,0,1
"0189024C",1,2,1,53,45,61,57,91,97,127,122,NA,NA,174,143,1,90000,0,0,1
"0190001C",1,2,1,34,24,50,38,NA,NA,NA,NA,NA,NA,NA,NA,1,120000,1,0,0
"0190002C",1,2,0,76,41,106,45,119,70,148,126,166,133,NA,NA,1,28000,1,0,0
"0190003C",1,2,0,40,40,40,46,78,64,165,137,167,137,201,157,1,26000,2,0,0
"0190004C",1,2,1,25,12,31,17,NA,NA,NA,NA,NA,NA,NA,NA,1,46000,1,0,0
"0190005C",1,2,0,39,39,52,50,144,123,184,153,196,165,193,167,2,31000,1,0,0
"0190006C",1,2,1,49,40,65,55,134,89,NA,NA,192,161,197,170,4,70000,1,0,0
"0190007C",1,2,1,32,20,42,33,75,55,154,113,NA,NA,NA,NA,1,27000,1,0,0
"0190008C",1,2,0,33,29,45,37,72,54,126,112,151,129,191,148,1,60000,2,0,0
"0190009C",1,2,0,36,28,41,37,NA,NA,NA,NA,NA,NA,NA,NA,3,15000,0,0,0
"0190010C",1,2,0,42,32,50,48,NA,NA,NA,NA,NA,NA,NA,NA,1,62000,1,0,0
"0190011C",1,2,0,42,35,55,40,103,60,163,105,NA,NA,NA,NA,1,22000,1,0,0
"0190012C",1,2,1,32,23,47,32,NA,NA,NA,NA,NA,NA,NA,NA,3,14000,1,0,0
"0190013C",1,2,1,38,36,56,44,94,82,142,133,NA,NA,NA,NA,1,36000,2,0,0
"0190014C",1,2,0,28,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55000,1,NA,NA
"0190015C",1,2,1,33,34,40,34,64,55,NA,NA,NA,NA,NA,NA,1,20000,1,0,0
"0190016C",1,2,0,34,24,40,43,82,87,NA,NA,NA,NA,NA,NA,2,73000,1,0,0
"0190017C",1,2,1,38,33,50,38,61,67,135,117,NA,NA,NA,NA,1,46000,1,0,0
"0190018C",1,2,1,47,38,57,52,80,75,160,115,148,126,NA,NA,1,35000,0,0,0
"0190019C",1,2,0,37,38,55,46,97,102,145,135,180,155,175,166,1,45000,1,0,0
"0190020C",1,2,0,40,28,51,32,74,58,108,92,130,103,155,99,1,70000,1,0,0
"0190021C",1,2,1,44,30,51,38,68,59,126,107,141,130,NA,NA,5,35000,0,0,0
"0190022C",1,2,1,49,34,54,61,107,96,159,131,181,147,180,146,2,40000,1,0,0
"0190023C",1,2,1,50,48,58,63,88,86,151,147,182,159,194,170,1,105000,1,0,0
"0190024C",1,2,0,30,22,33,29,NA,NA,NA,NA,NA,NA,NA,NA,1,11000,0,0,0
"0190025C",1,2,1,39,25,48,31,88,56,164,78,NA,NA,NA,NA,1,22000,1,0,0
"0192001C",1,2,1,NA,NA,49,47,74,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"0192002C",1,2,0,NA,NA,40,36,68,51,109,69,NA,NA,NA,NA,4,13000,1,0,0
"0192003C",1,2,0,NA,NA,104,59,134,83,NA,NA,NA,NA,NA,NA,1,50000,1,0,0
"0192004C",1,2,1,NA,NA,45,32,76,68,117,79,146,107,154,136,1,50000,1,0,0
"0192005C",1,2,0,NA,NA,34,49,65,76,106,105,136,140,112,133,1,15000,0,0,0
"0192006C",1,2,1,NA,NA,42,28,70,62,125,103,137,118,136,126,3,12000,0,0,0
"0192007C",1,2,0,NA,NA,49,32,78,70,146,97,NA,NA,NA,NA,1,40000,1,0,0
"0192008C",1,2,1,NA,NA,45,30,103,59,161,126,181,131,191,139,2,49000,0,0,0
"0192009C",1,2,0,NA,NA,55,68,128,102,158,143,192,161,200,171,1,22000,0,0,0
"0192010C",1,2,0,NA,NA,36,26,74,59,98,90,126,131,123,131,3,10000,0,0,0
"0192012C",1,2,0,NA,NA,40,46,88,54,148,136,169,153,188,161,1,36000,0,0,0
"0192013C",1,2,1,NA,NA,36,29,59,47,126,89,NA,NA,NA,NA,1,13000,1,0,0
"0192014C",1,2,0,NA,NA,41,43,66,66,108,109,151,130,NA,NA,2,50000,0,0,0
"0192015C",1,2,0,NA,NA,39,37,102,63,NA,NA,NA,NA,NA,NA,1,1e+05,2,0,0
"0192017C",1,2,0,NA,NA,42,41,61,62,105,112,160,142,NA,NA,1,36000,0,0,0
"0192018C",1,2,0,NA,NA,35,25,52,54,89,75,106,99,102,102,1,26000,1,0,0
"0192019C",1,2,1,NA,NA,43,29,65,45,105,102,128,119,172,135,1,37000,0,0,0
"0192020C",1,2,0,NA,NA,44,30,52,40,83,74,119,88,144,125,2,23000,0,0,0
"0192021C",1,2,0,NA,NA,46,34,67,53,103,82,NA,NA,NA,NA,1,40000,1,0,0
"0192024C",1,2,1,NA,NA,37,29,66,57,111,99,146,107,141,122,2,60000,1,0,0
"0194001C",1,1,1,27,18,31,19,46,33,NA,NA,NA,NA,NA,NA,1,8000,0,0,1
"0194002C",1,1,1,35,34,57,47,NA,NA,NA,NA,NA,NA,NA,NA,1,39000,2,0,1
"0194003C",1,1,0,44,38,52,53,92,86,NA,NA,NA,NA,NA,NA,2,52000,1,0,1
"0194004C",1,1,0,36,26,53,41,89,88,NA,NA,NA,NA,NA,NA,1,60000,0,0,1
"0194005C",1,1,0,38,30,50,63,NA,NA,NA,NA,NA,NA,NA,NA,1,65000,1,0,NA
"0194006C",1,1,0,31,23,46,41,62,60,116,96,149,130,NA,NA,1,4000,0,0,1
"0194007C",1,1,1,32,25,44,30,80,63,141,110,148,102,146,119,1,40000,2,0,1
"0194008C",1,1,0,29,20,36,32,NA,NA,NA,NA,NA,NA,NA,NA,3,20000,2,0,1
"0194009C",1,1,1,33,22,36,29,51,51,NA,NA,NA,NA,NA,NA,3,12000,0,0,1
"0194010C",1,1,1,26,19,36,29,54,52,87,77,134,103,154,110,3,30000,1,0,1
"0194011C",1,1,1,44,29,58,35,108,49,NA,NA,NA,NA,NA,NA,3,24000,1,0,1
"0194012C",1,1,0,36,28,50,47,92,76,122,122,132,136,180,155,1,49000,1,0,1
"0194013C",1,1,0,27,29,42,41,75,70,94,116,142,132,143,165,1,1e+05,1,0,1
"0194014C",1,1,1,37,23,47,36,98,65,126,96,145,125,131,152,3,7400,0,0,0
"0194015C",1,1,1,40,35,53,43,NA,NA,NA,NA,NA,NA,NA,NA,1,43000,1,0,0
"0194016C",1,1,0,31,23,36,22,74,52,91,90,NA,NA,NA,NA,1,24000,0,0,0
"0194017C",1,1,0,29,21,40,26,66,41,108,72,131,87,NA,NA,1,60000,1,0,0
"0194018C",1,1,0,33,20,46,24,NA,NA,NA,NA,NA,NA,NA,NA,1,45000,2,0,0
"0194019C",1,1,0,33,25,38,29,66,38,NA,NA,NA,NA,NA,NA,3,5900,0,0,0
"0194020C",1,1,1,43,40,52,66,112,85,NA,NA,NA,NA,NA,NA,1,60000,1,0,0
"0194021C",1,1,0,25,13,35,24,NA,NA,NA,NA,NA,NA,NA,NA,1,23000,1,0,0
"0194022C",1,1,0,26,14,33,22,55,46,NA,NA,NA,NA,NA,NA,1,45000,1,0,0
"0194023C",1,1,1,45,32,70,38,NA,NA,NA,NA,NA,NA,NA,NA,2,47000,1,0,0
"0194024C",1,1,1,27,16,39,23,NA,NA,NA,NA,NA,NA,NA,NA,4,33000,0,0,0
"0195001C",1,1,1,49,29,77,46,127,99,NA,NA,NA,NA,NA,NA,3,5800,1,0,0
"0195002C",1,1,1,36,29,46,38,NA,NA,NA,NA,NA,NA,NA,NA,1,30000,1,0,0
"0195003C",1,1,1,28,12,30,19,58,26,83,55,NA,NA,NA,NA,3,12000,0,0,NA
"0195004C",1,1,1,33,17,41,26,69,45,106,74,NA,NA,NA,NA,3,20000,1,0,0
"0195005C",1,1,0,33,42,52,79,102,106,153,145,194,161,196,161,4,25000,0,0,0
"0195006C",1,1,0,26,17,43,36,70,72,108,114,142,132,161,136,1,55000,1,0,0
"0195007C",1,1,0,26,18,41,29,51,50,88,75,NA,NA,NA,NA,3,4000,0,0,0
"0195008C",1,1,1,24,16,31,26,49,40,NA,NA,NA,NA,NA,NA,3,10000,1,0,0
"0195009C",1,1,1,32,25,39,30,87,66,152,92,NA,NA,NA,NA,1,14000,1,0,0
"0195010C",1,1,1,24,12,31,18,38,29,65,48,98,67,NA,NA,3,12000,1,0,0
"0195011C",1,1,1,24,15,37,26,59,52,88,65,119,99,NA,NA,1,40000,0,0,0
"0195012C",1,1,1,34,26,48,32,74,55,148,103,NA,NA,NA,NA,2,10000,1,0,0
"0195013C",1,1,0,30,21,39,35,65,55,141,77,128,90,152,117,3,11000,1,0,0
"0195014C",1,1,1,27,16,49,37,73,52,106,104,160,133,189,143,3,14000,1,0,1
"0195015C",1,1,0,24,20,44,28,73,54,105,93,140,117,138,111,NA,NA,NA,0,1
"0195016C",1,1,1,43,37,57,54,89,84,147,116,165,141,187,150,1,80000,1,0,1
"0195017C",1,1,0,27,25,44,36,87,66,126,99,NA,NA,NA,NA,3,24000,1,0,1
"0195018C",1,1,1,31,20,44,33,60,49,93,60,123,87,148,107,3,14500,1,0,1
"0195019C",1,1,0,27,15,37,29,49,48,62,81,NA,NA,NA,NA,4,20000,1,0,1
"0195020C",1,1,1,26,22,46,36,88,46,115,66,134,94,164,111,1,90000,0,0,1
"0195021C",1,1,0,44,30,79,46,118,64,159,113,181,139,195,158,1,25000,1,0,1
"0195022C",1,1,0,27,21,41,32,77,72,NA,NA,NA,NA,NA,NA,1,22000,1,0,1
"0195023C",1,1,0,35,38,41,50,100,91,149,124,181,149,NA,NA,1,39000,0,0,1
"0195024C",1,1,0,NA,NA,35,21,48,44,103,57,124,91,NA,NA,3,24000,0,0,0
"0195025C",1,1,1,32,22,49,39,90,62,136,91,168,121,174,149,1,90000,0,0,1
"0195041C",NA,NA,0,NA,NA,NA,NA,67,82,102,94,144,127,129,136,NA,NA,NA,NA,NA
"0196001C",1,1,1,41,49,53,64,124,97,168,147,181,157,203,159,1,30000,1,0,1
"0196002C",1,1,0,44,34,51,65,77,101,151,146,177,154,196,170,4,32000,1,0,1
"0196003C",1,1,1,45,40,52,49,76,78,142,108,NA,NA,NA,NA,2,55000,0,0,1
"0196004C",1,1,1,61,44,77,58,137,81,168,134,185,159,206,164,1,140000,1,0,1
"0196005C",1,1,1,39,35,55,50,83,79,129,110,166,133,179,134,1,71000,2,0,1
"0196006C",1,1,1,44,39,63,62,126,96,176,133,NA,NA,NA,NA,1,60000,1,0,1
"0196007C",1,1,1,36,41,50,52,91,69,162,128,168,135,187,144,1,60000,1,0,1
"0196008C",1,1,0,41,26,47,31,57,49,126,97,170,119,161,156,2,40000,2,0,1
"0196009C",1,1,1,36,23,47,41,77,64,150,106,180,132,189,140,1,96000,1,0,1
"0196010C",1,1,0,39,32,52,42,74,58,100,101,150,136,NA,NA,4,16000,1,0,1
"0196011C",1,1,0,35,32,48,36,90,66,126,118,180,141,196,148,1,45000,1,0,1
"0196012C",1,1,1,62,70,71,72,134,90,159,155,195,158,203,171,1,50000,1,0,1
"0196014C",1,1,1,35,26,51,43,76,56,122,91,154,134,177,152,1,130000,2,0,1
"0196015C",1,1,1,36,26,47,36,56,54,126,113,164,133,184,149,1,75000,1,0,1
"0196016C",1,1,1,40,27,55,44,76,74,144,104,152,121,188,139,1,46000,1,0,1
"0196017C",1,1,1,29,24,53,44,77,78,137,119,NA,NA,NA,NA,1,30000,2,0,1
"0196018C",1,1,1,39,28,53,51,73,59,144,90,169,124,201,160,1,36000,1,0,1
"0196019C",1,1,0,41,50,52,62,91,82,145,134,167,152,194,160,1,55000,1,0,1
"0196020C",1,1,1,32,26,46,38,74,61,151,117,168,138,187,154,1,60000,1,0,1
"0196021C",1,1,0,26,31,47,49,100,77,147,143,NA,NA,NA,NA,1,107000,2,0,1
"0196022C",1,1,0,37,41,46,47,75,99,125,113,158,152,195,162,1,90000,2,0,1
"0196023C",1,1,1,45,50,50,53,67,72,125,90,NA,NA,NA,NA,3,10000,0,0,1
"0196024C",1,1,0,36,26,44,38,73,74,118,91,145,131,179,152,1,50000,1,0,1
"0196025C",1,1,1,40,33,50,43,64,69,102,119,NA,NA,NA,NA,1,60000,0,0,1
"0196026C",1,1,1,47,32,51,49,82,52,127,100,149,122,180,149,1,45000,2,0,1
"0197001C",1,1,0,NA,NA,46,29,NA,NA,NA,NA,NA,NA,NA,NA,1,27000,0,0,NA
"0197002C",1,1,1,36,20,42,28,48,32,NA,NA,NA,NA,NA,NA,1,45000,1,0,1
"0197003C",1,1,0,42,37,56,44,89,77,NA,NA,NA,NA,NA,NA,2,45000,2,0,1
"0197004C",1,1,0,44,40,48,53,65,71,133,115,153,122,195,160,2,46000,2,0,1
"0197005C",1,1,0,29,21,52,49,50,53,106,93,151,130,173,139,1,60000,0,0,1
"0197006C",1,1,1,41,33,NA,NA,124,81,169,122,166,143,186,162,3,32000,2,NA,1
"0197007C",1,1,1,32,22,43,26,NA,NA,NA,NA,NA,NA,NA,NA,1,70000,1,0,1
"0197008C",1,1,1,40,41,54,54,89,79,148,117,169,141,204,159,1,56000,0,0,1
"0197009C",1,1,1,32,19,38,29,NA,NA,NA,NA,NA,NA,NA,NA,3,7500,0,0,1
"0197010C",1,1,0,39,32,46,41,66,65,125,104,NA,NA,NA,NA,4,15000,0,0,1
"0197011C",1,1,0,34,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150000,2,NA,NA
"0197012C",1,1,0,39,37,51,45,75,64,169,111,NA,NA,NA,NA,1,65000,1,0,1
"0197013C",1,1,1,35,20,42,33,69,54,129,75,140,99,160,132,4,45000,1,0,1
"0197014C",1,1,1,47,37,61,44,106,70,152,105,175,141,188,154,1,32000,1,0,1
"0197015C",1,1,1,38,22,49,32,65,44,114,73,126,105,NA,NA,1,25000,0,0,1
"0197016C",1,1,1,40,29,50,39,89,50,129,88,145,124,172,146,2,70000,0,0,1
"0199002C",1,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45000,1,NA,1
"0200001C",1,2,1,35,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"0200002C",1,2,1,28,20,46,31,NA,NA,NA,NA,NA,NA,NA,NA,4,20000,1,0,1
"0200003C",1,2,1,29,27,45,34,NA,NA,NA,NA,NA,NA,NA,NA,1,1e+05,2,0,1
"0200004C",1,2,1,38,24,47,31,NA,NA,NA,NA,NA,NA,NA,NA,1,85000,2,0,1
"0200005C",1,2,1,31,37,52,41,NA,NA,NA,NA,NA,NA,NA,NA,3,55000,1,0,1
"0200006C",1,2,0,25,20,48,32,NA,NA,NA,NA,NA,NA,NA,NA,1,85000,2,0,1
"0200007C",1,2,1,32,22,37,35,NA,NA,NA,NA,NA,NA,NA,NA,1,45000,0,0,NA
"0200008C",1,2,1,35,24,59,40,NA,NA,NA,NA,NA,NA,NA,NA,3,28000,1,0,1
"0200009C",1,2,0,35,29,57,40,NA,NA,NA,NA,NA,NA,NA,NA,2,80000,1,0,1
"0200010C",1,2,1,31,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,35000,1,NA,NA
"0201001C",1,2,1,49,51,105,63,139,76,166,130,NA,NA,NA,NA,1,44000,0,0,0
"0201003C",1,2,1,35,24,47,42,76,71,155,118,NA,NA,NA,NA,1,90000,1,0,0
"0201004C",1,2,1,30,21,41,29,75,63,NA,NA,NA,NA,NA,NA,1,65000,2,0,0
"0201006C",1,2,1,25,14,26,15,NA,NA,NA,NA,NA,NA,NA,NA,1,41000,2,0,0
"0201008C",1,2,1,32,17,39,24,66,45,141,60,NA,NA,NA,NA,2,65000,2,0,0
"0201009C",1,2,0,36,39,44,49,68,79,132,110,NA,NA,NA,NA,4,13000,1,0,0
"0201010C",1,2,1,59,51,109,66,139,94,181,133,NA,NA,NA,NA,1,60000,1,0,0
"0201011C",1,2,0,34,25,41,36,73,62,119,81,141,114,172,154,1,60000,1,0,0
"0201012C",1,2,1,40,29,43,28,71,64,155,102,168,127,174,141,1,36000,1,0,0
"0201013C",1,2,1,36,21,43,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"0201014C",1,2,1,34,29,46,39,87,63,149,105,170,137,195,150,1,65000,0,0,0
"0201015C",1,2,1,37,34,48,36,83,53,145,87,NA,NA,NA,NA,4,30000,0,0,0
"0201016C",1,2,0,34,26,47,35,74,49,107,88,126,122,132,141,1,28000,1,0,0
"0201018C",1,2,0,25,14,28,19,38,29,56,76,NA,90,104,94,2,45000,0,0,0
"0201019C",1,2,1,37,25,40,33,58,44,110,79,NA,NA,NA,NA,3,17000,0,0,0
"0201022C",1,2,1,50,40,75,47,115,65,142,119,NA,NA,NA,NA,3,38000,1,0,0
"0202001C",1,2,1,34,21,41,29,65,42,105,61,NA,NA,NA,NA,1,3e+05,2,0,0
"0202002C",1,2,1,37,31,45,35,64,56,106,89,136,94,155,122,4,19000,1,0,0
"0202003C",1,2,1,32,22,46,23,NA,NA,NA,NA,NA,NA,NA,NA,2,60000,2,0,0
"0202004C",1,2,0,29,26,37,31,47,46,119,119,NA,NA,NA,NA,1,120000,2,0,0
"0202005C",1,2,0,29,38,49,77,NA,NA,NA,NA,NA,NA,176,160,1,250000,2,0,NA
"0202006C",1,2,1,74,52,102,67,137,101,NA,NA,NA,NA,NA,NA,1,80000,1,0,0
"0202007C",1,2,0,50,46,109,64,133,97,168,135,NA,NA,NA,NA,1,170000,2,0,0
"0202008C",1,2,0,57,44,82,63,132,119,NA,NA,NA,NA,NA,NA,2,150000,2,0,0
"0202009C",1,2,1,35,32,52,42,105,92,153,135,197,159,208,167,1,93000,2,0,0
"0202011C",1,2,1,94,42,128,55,144,75,151,104,183,149,206,137,1,85000,2,0,0
"0202012C",1,2,1,35,22,40,32,66,64,NA,NA,NA,NA,NA,NA,1,90000,2,0,0
"0202013C",1,2,1,33,23,35,26,48,39,103,64,NA,NA,NA,NA,1,40000,1,0,0
"0202014C",1,2,1,35,30,60,42,NA,NA,NA,NA,NA,NA,NA,NA,2,70000,2,0,0
"0202015C",1,2,0,28,27,39,34,45,65,142,122,NA,NA,NA,NA,1,82000,1,0,0
"0202016C",1,2,0,33,27,54,44,87,70,126,122,NA,NA,NA,NA,1,130000,2,0,0
"0202017C",1,2,0,35,27,39,46,51,63,126,105,NA,NA,NA,NA,3,78000,1,0,0
"0202018C",1,2,1,34,25,39,32,NA,NA,NA,NA,NA,NA,NA,NA,1,90000,2,0,0
"0204001C",1,1,1,30,19,33,17,76,56,125,90,148,119,186,167,1,26500,0,1,0
"0204003C",1,1,1,27,16,30,21,74,56,106,76,131,116,152,115,1,34000,0,1,0
"0204004C",1,1,0,33,15,33,19,52,32,92,66,141,77,154,91,2,35000,0,0,0
"0204005C",1,1,1,26,22,36,36,70,71,NA,NA,NA,NA,NA,NA,1,28000,0,0,0
"0204007C",1,1,0,NA,12,NA,14,NA,NA,55,55,NA,NA,NA,NA,1,28000,0,1,0
"0204008C",1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65000,1,1,0
"0204009C",1,1,0,37,21,54,32,102,55,151,107,179,145,166,163,1,34000,1,0,0
"0204010C",1,1,1,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57000,1,NA,NA
"0204011C",1,1,0,30,26,34,22,40,48,82,75,143,140,166,140,3,18000,1,0,0
"0204012C",1,1,0,31,22,40,28,83,66,159,115,163,145,181,147,1,84000,1,0,0
"0204013C",1,1,1,31,20,42,32,66,57,92,86,NA,NA,NA,NA,1,37000,0,0,0
"0204014C",1,1,1,23,13,25,14,32,23,64,55,NA,NA,NA,NA,1,13500,0,1,0
"0204015C",1,1,1,25,15,34,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
"0204016C",1,1,0,28,20,30,22,47,42,104,55,NA,NA,NA,NA,2,22000,1,0,0
"0204017C",1,1,1,23,12,27,17,41,28,NA,NA,NA,NA,NA,NA,3,28000,0,0,0
"0204018C",1,1,0,30,25,40,47,76,72,103,115,133,141,112,142,1,5000,0,0,NA
"0204019C",1,1,0,40,33,51,42,88,67,150,116,181,131,182,144,1,60000,2,0,0
"0204020C",1,1,1,32,13,35,18,63,52,144,83,NA,NA,NA,NA,1,29000,0,0,0
"0204021C",1,1,1,25,19,29,19,31,21,55,38,NA,67,NA,89,5,40000,1,0,0
"0204022C",1,1,0,35,36,36,35,57,46,114,101,150,124,168,143,3,7000,1,1,0
"0204023C",1,1,1,40,27,47,38,90,62,162,128,180,141,NA,NA,1,45000,0,0,0
"0204024C",1,1,1,34,21,39,23,67,49,84,76,NA,NA,NA,NA,1,150000,1,0,0
"0206001C",1,1,0,67,30,96,41,NA,NA,NA,NA,NA,NA,NA,NA,1,52000,2,0,0
"0206002C",1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,50000,0,1,0
"0206003C",1,1,0,28,14,39,22,NA,NA,NA,NA,NA,NA,NA,NA,1,53000,0,0,0
"0206004C",1,1,0,102,45,109,56,NA,NA,NA,NA,NA,NA,NA,NA,2,60000,1,0,0
"0206005C",1,1,1,29,15,32,21,NA,NA,NA,NA,NA,NA,NA,NA,3,12000,0,0,0
"0206006C",1,1,1,27,15,33,20,NA,NA,NA,NA,NA,NA,NA,NA,1,27000,1,1,0
"0206007C",1,1,1,35,23,39,32,72,58,156,112,164,144,175,161,2,45000,0,0,0
"0206009C",1,1,1,33,25,42,38,63,57,NA,NA,NA,NA,NA,NA,1,12000,0,0,0
"0206010C",1,1,0,NA,NA,28,24,NA,NA,NA,NA,NA,NA,NA,NA,1,39000,0,0,0
"0206011C",1,1,1,32,24,41,25,61,49,102,89,115,118,109,113,4,10000,0,0,0
"0206012C",1,1,0,NA,12,NA,13,NA,15,54,43,76,54,116,86,1,9000,0,1,0
"0206013C",1,1,1,25,13,26,22,NA,NA,NA,NA,NA,NA,NA,NA,1,22000,0,0,0
"0206014C",1,1,1,37,26,60,47,NA,NA,NA,NA,NA,NA,NA,NA,1,21000,1,0,0
"0206016C",1,1,0,23,15,30,22,NA,NA,NA,NA,NA,NA,NA,NA,3,18000,0,0,0
"0206017C",1,1,1,NA,13,26,13,NA,NA,NA,NA,NA,NA,NA,NA,4,15000,0,1,0
"0206018C",1,1,1,23,14,28,20,41,30,72,53,113,87,NA,NA,1,10000,0,0,0
"0206019C",1,1,0,34,26,38,34,NA,NA,NA,NA,NA,NA,NA,NA,1,25000,0,0,0
"0206020C",1,1,0,25,22,40,35,NA,NA,NA,NA,NA,NA,NA,NA,3,20000,0,0,0
"0206021C",1,1,0,36,29,44,40,59,72,147,135,164,171,NA,NA,2,40000,1,0,0
"0206022C",1,1,1,32,22,41,26,NA,NA,NA,NA,NA,NA,NA,NA,1,62000,1,0,0
"0206023C",1,1,1,33,21,36,22,NA,NA,NA,NA,NA,NA,NA,NA,1,90000,2,0,0
"0206024C",1,1,1,34,24,44,25,72,48,NA,NA,NA,NA,NA,NA,1,50000,1,0,0
"0207001C",1,3,0,NA,NA,41,41,75,63,143,114,157,128,184,146,1,80000,1,0,0
"0207003C",1,3,1,NA,NA,44,42,67,77,106,110,149,141,NA,NA,3,19000,0,0,0
"0207004C",1,3,1,NA,NA,45,45,66,78,138,126,154,147,NA,NA,1,90000,1,0,0
"0207005C",1,3,0,NA,NA,45,37,29,20,NA,NA,NA,NA,NA,NA,3,32000,0,0,0
"0207006C",1,3,0,NA,NA,40,27,67,48,98,88,129,105,NA,NA,1,50000,1,0,0
"0207008C",1,3,0,NA,NA,44,36,87,57,129,97,147,129,193,160,2,43000,0,0,0
"0207009C",1,3,0,NA,NA,44,50,76,83,130,128,169,144,198,169,1,60000,2,0,0
"0207010C",1,3,0,NA,NA,44,45,66,58,122,106,180,152,156,156,1,36000,0,0,0
"0207012C",1,3,0,NA,NA,47,39,81,73,NA,NA,NA,NA,NA,NA,2,75000,0,0,0
"0207013C",1,3,1,NA,NA,40,31,68,54,105,77,142,95,NA,NA,1,59000,1,0,0
"0207014C",1,3,1,NA,NA,46,34,59,48,128,86,145,100,178,121,4,70000,0,0,0
"0207016C",1,3,1,NA,NA,40,36,59,48,109,94,155,122,168,143,1,30000,1,0,0
"0207017C",1,3,0,NA,NA,38,37,73,62,119,105,128,131,176,150,1,42000,1,0,0
"0207018C",1,3,1,NA,NA,49,33,87,69,173,140,193,143,202,156,1,1e+05,2,0,0
"0207019C",1,3,0,NA,NA,46,42,NA,NA,NA,NA,NA,NA,NA,NA,2,30000,0,0,0
"0207020C",1,3,0,NA,NA,42,63,71,79,153,129,170,153,204,161,1,110000,2,0,0
"0207021C",1,3,1,NA,NA,34,26,54,42,113,77,137,112,176,131,5,25600,0,0,0
"0207022C",1,3,0,NA,NA,38,34,73,57,88,86,147,132,NA,NA,1,50000,2,0,0
"0207023C",1,3,1,NA,NA,44,39,87,56,125,99,158,108,157,129,2,22000,0,0,0
"0207024C",1,3,0,NA,NA,53,32,66,53,105,104,146,104,128,136,1,50000,0,0,0
"0212001C",1,2,0,38,29,48,40,102,79,142,110,NA,NA,NA,NA,1,45000,1,0,1
"0212002C",1,2,1,35,33,42,35,64,71,141,92,162,112,193,144,1,51000,1,0,1
"0212004C",1,2,1,24,13,29,21,63,38,105,55,136,75,180,100,2,28000,1,0,1
"0212005C",1,2,0,38,40,43,49,67,84,162,137,NA,NA,NA,NA,1,70000,1,0,1
"0212006C",1,2,1,33,35,48,42,81,45,NA,NA,NA,NA,NA,NA,3,40000,1,0,1
"0212007C",1,2,0,27,19,32,34,56,47,70,73,NA,NA,NA,NA,1,90000,1,0,1
