"Child_ID","Region","Urbanicity","Gender","C1_Reading","C1_Math","C2_Reading","C2_Math","C4_Reading","C4_Math","C5_Reading","C5_Math","C6_Reading","C6_Math","C7_Reading","C7_Math","P2_Family_Type","WK_Income","Parent_Education","Non_Home_English_Speaker","Full_Time_Program"
"0005022C",1,1,1,26,19,40,31,NA,NA,NA,NA,NA,NA,NA,NA,1,15000,0,0,0
"0005023C",1,1,0,24,15,27,28,63,46,NA,NA,NA,NA,NA,NA,3,8800,0,0,0
"0005024C",1,1,0,23,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,15000,1,NA,NA
"0005025C",1,1,1,24,17,35,23,52,37,106,88,146,105,NA,NA,1,21000,1,0,0
"0006001C",1,1,1,32,22,36,28,85,57,127,114,154,154,195,169,1,13000,0,1,0
"0006002C",1,1,0,NA,NA,NA,NA,39,36,95,73,147,108,163,147,NA,11000,0,1,0
"0006003C",1,1,0,41,34,50,42,66,93,116,108,154,120,158,143,1,85000,1,0,0
"0006004C",1,1,1,40,27,49,38,NA,NA,NA,NA,NA,NA,NA,NA,2,15000,1,0,0
"0006005C",1,1,0,37,40,50,61,106,95,149,147,168,141,NA,NA,1,55000,1,0,0
"0006006C",1,1,1,33,20,40,28,NA,NA,NA,NA,NA,NA,NA,NA,1,15000,0,0,0
"0006007C",1,1,0,26,13,28,29,48,53,116,118,130,124,147,133,3,13000,0,0,0
"0006008C",1,1,0,31,22,44,39,NA,NA,NA,NA,NA,NA,NA,NA,1,15000,1,0,0
"0006009C",1,1,1,35,31,39,36,NA,NA,NA,NA,NA,NA,NA,NA,1,26000,1,0,0
"0006010C",1,1,1,38,29,54,33,85,56,141,91,162,139,199,146,4,12000,0,0,0
"0006011C",1,1,0,27,14,35,28,49,51,108,89,127,105,187,165,1,40000,0,0,0
"0006012C",1,1,1,31,20,37,21,58,44,126,92,145,125,193,134,1,32000,0,0,0
"0006013C",1,1,0,29,24,37,37,51,59,NA,NA,NA,NA,NA,NA,1,32000,0,0,0
"0006014C",1,1,1,32,24,40,26,61,33,99,55,NA,NA,NA,NA,3,10000,0,0,0
"0006015C",1,1,0,29,12,30,19,49,45,90,112,151,140,168,131,3,5000,0,0,0
"0006016C",1,1,1,39,28,46,35,63,74,NA,NA,NA,NA,NA,NA,1,8000,0,0,0
"0006017C",1,1,1,40,27,47,37,95,64,133,138,167,141,188,155,1,39000,0,0,0
"0006018C",1,1,0,26,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,18000,0,NA,NA
"0006019C",1,1,0,25,12,28,19,31,30,NA,NA,NA,NA,NA,NA,3,25000,0,0,0
"0006020C",1,1,0,32,27,40,31,NA,NA,NA,NA,NA,NA,NA,NA,1,10000,0,0,0
